temp,cp
11.50658,
13.2033,
14.90295,-7.15649
16.60167,-20.5196
18.30182,23.76208
20.00093,46.82744
21.70261,74.14771
23.40179,97.21418
25.10275,125.35159
26.80083,163.41075
28.49962,217.19689
30.19869,237.7013
31.8961,135.15382
33.59533,138.36574
35.29335,239.84843
36.99288,223.22139
38.69104,254.68952
40.39059,285.68843
42.08966,346.88138
43.78905,446.92403
45.48959,560.11153
47.1887,699.44668
48.88823,851.99961
50.58526,1043.30074
52.28584,1274.81215
53.98524,1499.13625
55.68511,1741.32436
57.3848,1903.1385
59.0832,2026.79911
60.78235,2020.3415
62.47736,1902.43641
64.17775,1765.22397
65.87639,1470.91356
67.57606,1269.89281
69.27605,1002.04363
70.97517,756.44275
72.67587,580.3358
74.37432,403.7243
76.07498,333.52144
77.77437,175.68643
79.47567,95.17648
81.17606,136.42524
82.87569,26.77883
84.57688,13.5701
86.27757,-20.94107
87.97896,74.88628
89.67958,-22.26102
91.38208,-62.63056
93.08187,29.1942
94.78158,2.26195
96.48463,-96.87421
98.18503,37.73257
99.88783,11.61623
101.58806,-2.50272
103.29065,70.12764
104.99158,34.98156
106.69345,--
108.39587,--
